,song,artist,genre,actual_lyrics
205,CHARGE DEM HOES A FEE,"Playboi Carti, Future & Travis Scott",Hip-Hop,"['Wheezy outta here', 'Wide body on the Lambo kit', 'Wide body woahwoah Woah', 'Wide body on the Lambo kit Slatt slatt', 'Wide body woah Slatty woah woah', 'Blue room Shh he gone off balloon', 'Givenchy Givenchy from 2002', ""Pretty lil' model run straight through the crew"", ""Jumpin' in Prada bitch tyin' my shoe"", 'Take off her mink on the Patek', 'That throat is a GOAT you know how it go']"
206,blue,yung kai,Pop,"['like watching stars', ""and I'll tell without a thought"", ""You'd be mine"", 'moonlight skies', 'waves', ""The ocean's colors on your face"", ""I'll leave my heart with your air"", 'So let me fly with you', ""I'll imagine we fell in love""]"
207,Ojos Tristes,"Selena Gomez, benny blanco & The Marías",Pop,"['Chorus Mara Zardoya  Selena Gomez', 'El muchacho de los ojos tristes', 'Vive solo y necesita amor', 'Como el aire necesita verme', 'Como al sol lo necesito yo']"
208,Handlebars,JENNIE & Dua Lipa,R&B,"['I trip and fall in love', 'Just like a Tuesday drunk', 'I always go all in all in all in', 'Over the handlebars', 'Hitting the ground so hard', ""If I'm alone fallin' fallin' fallin"", 'Mercy', 'Why is it love is never kind to me Me', ""I heard that fools rush in and yeah that's me Me"", 'It burns me time and time again', 'So why am I still fixing for this frying pan Thinkin', 'I trip and fall in love', 'Just like a Tuesday drunk', 'I always go all in all in all in', 'Over the handlebars', 'Hitting the ground so hard', ""If I'm alone fallin' fallin' fallin""]"
209,FINE SHIT,Playboi Carti,Rap,"['Chorus', ""Hey my bitch so bad she can't even go outside"", ""My bitch so bad she can't even post online huh"", ""Don't say you ride for me lil' bitch just ride huh huh"", 'Take one pill out in Ibiza', 'Take one pill out in Ibiza', 'Chorus', ""Huh huh hy my bitch so bad she can't even go outsid Yeah huh"", ""My bitch so bad she can't even go online huh Huh"", ""In New York I stepped in my Timbs I can't feel my limbs"", 'I just canceled one of my shows to watch me a film uhuh', 'I bought that ho a lot of clothes but she love her Skims']"
210,I SEEEEEE YOU BABY BOI,Playboi Carti,Hip-Hop,"['Schyeah schyeah', ""Started from the bottom schyeah schyeah ain't hard to tell"", ""Yeah livin' this life out of highs schyeah I escaped the fail schyeah"", ""Yeah she gon' know how it feel"", ""I'm humbly over my mills"", ""Schyeah I was tired of bein' in a shell"", ""That shit in the cell I can't tuck my tail"", ""Just give me that pussy and don't remind me 'cause I can see you yeah"", 'Schyeah', ""Just give me that pussy and don't remind me 'cause I can see you yeah"", ""Just give me that pussy and don't remind me 'cause I can see you yeah"", 'Yeah how do I know that you down for me', ""How do I know that you 'round for me"", 'How do I know that you bound for me', 'Bitch would you make gun sounds for me', ""I don't know""]"
211,WE NEED ALL DA VIBES,"Playboi Carti, Young Thug & Ty Dolla $ign",Rap,"['Wheezy outta here', ""They doin' anything just to get inside this room tryna see the way we kick it wanna see the way we pop it"", 'A couple bad bitches wanna make sure that they vibing', 'A rosegold Patek on her wrist because she pop', ""We made a couple mil' then we spent it"", ""This ain't no GShock baby No this Philippe Ooh yeah"", ""Heard they talkin' out they neck feelin' froggy go and leap Yeah oh yeah"", ""She get everything she want she know I'm splurging Yeah""]"
212,K POP,Playboi Carti,Rap,"[""My tshirt on so I won't get ugly"", ""She fuckin' with a don I'm fuckin' with a bomb"", ""They think I'm Osama woah she think I'm off somethin"", ""I'm fuckin' with a bad lil' vibe molly all over her tongue"", ""I'm 'bout to spot me an opp I'm 'bout to spin they truck woah"", ""I said Mama I got me a switch we don't give a fuck 'bout luck huh"", ""Ice on my body I'm the coolest"", 'Trampoline jump for a cougar', 'Jump out the jungle go hectic', ""I'm leavin' that boy in his 'dulla"", 'She wanna fuck for the moolar', 'That Pelle Pelle hold the Ruger', ""I was just layin' with your girl huh"", ""She like bein' 'round my niggas"", ""She T'd up she not switchin"", 'G6 got me in here glitchin', 'Really rich as fuck just livin', ""This bitch ain't got no vision"", ""I'ma go'n 'head and give it to her"", ""I just been feelin' myself"", 'I found Jesus Christian Dior', ""Got a bitch wanna fuck on the gang she'll put a stain right on the floor"", ""Got me feelin' like Jason Chase I'm switchin' lanes on these whores"", ""Stop all that talkin' let's do it you on the internet boy stop boy"", ""I'm in the field with cleats SIG in my jeans I kill boys"", ""Me and my niggas we G's step on bitches we kick doors"", ""I stay runnin' up checks and holdin' the knife it's a sport"", ""Sittin' with my blick I got me a gang I can't go to court Huh"", 'Nigga try to pop his pain put two in his brain blow up the fort']"
213,WAKE UP F1LTHY,Playboi Carti & Travis Scott,Hip-Hop,"['Uh F1LTHY said Wake up wake up', 'Uh had to go get the cake cake up uh', 'Racks on me racks up racks up', 'Uh money on the floor', 'Uh pass her La Flame now she want the O Schyeah', 'Jump out the party I look like Mitch Modes', 'Paint on her pussy I suck on that titty I turn on that tit Ah', 'Oh you in Savannah Come to Atlanta come hold on this dick', ""Me and F1LTHY we gettin' filthy we so rich gah"", ""I'm rollin' off X can't feel my head can't feel my feet yeah"", ""It's Double05 we mob tied leave a nigga weak Ah wow"", ""Two rotations 'round they go"", ""I took two and now I'm turnt Ooh"", 'Fucked La Flame and now she burn', ""Different bodies comin' in and out it like my Glock it switches"", 'I come from the city of pop trunk and elbows Skrrt', 'She give me that sixtynine while I play sixfour Skrrt']"
214,WW3,Kanye West,Hip-Hop,"['Pre', 'Chorus', ""She wanna hop in a 'Rari"", ""She wanna hop in a 'Rari"", ""She wanna hop in a 'Rari"", ""She wanna hop in a 'Rari"", 'Chorus', 'I see that look in her eyes', 'She wanna hop in a ride', 'I said Are you ready to die', 'I said Are you ready to die', 'bully', ""I'm antisemitic fully"", ""They sayin' I'm actin' like Hitler"", ""But how am I actin' like Hitler"", 'When I am a fucking nigga', ""They tellin' me Get up off Twitter"", 'I voted for Trump not Biden', 'Know some niggas that went to that island', 'Why the fuck would you go to that island', 'Went to the dentist and got me some nitrous', 'Went to the dntist and put in some diamonds', 'I did not ask for broke niggas to chime in', ""Thy just don't understand me"", ""I'm that nigga that's gon' urinate on Grammys"", ""Rockin' swastikas 'cause all my niggas Nazis"", ""Readin' Mein Kampf two chapters 'fore I go to sleep""]"
215,How Bad Do U Want Me,Lady Gaga,Electronic,"['The good girl in your dreams', ""Is mad you're lovin' me"", 'I know you wish that she was me', 'Cause you like my hair my rippedup jeans', 'You like the bad girl I got in me', 'But I got a tattoo for us last week', 'Even good boys bleed', 'How bad bad do you want me How bad bad do you want me', 'How bad bad do you want me', 'Cause you hate th crash but you love the rush', 'How bad bad do you want me', 'Cause with your eyes closed you might peek', ""So hot hot that you can't speak""]"
216,TRIM,Playboi Carti & Future,Rap,"[""I'm rockin' baguetties you niggas is petty"", ""I'm pushin' the Spec' got the stars in the door"", ""She rockin' baguetties she fuckin' with me"", 'The finer the China you put on your nose', ""I bought a new mansion it's just for the clothes""]"
217,JUMPIN,Playboi Carti & Lil Uzi Vert,Hip-Hop,"[""I'm jumpin' off drugs I'm jumpin' off drugs ooh Don't do thatmynigga uh"", ""I'm jumpin'off drugs I'm jumpin' off drugsooh Don't do that my nigga uh"", ""I'm jumpin' off drugs I'm jumpin' off drugs ooh Don't do that my nigga"", 'Oxy molly Oxy Oxy Oxy molly I see bodies Yeah', 'I see dead niggas yeah I see bodies I see bodies Hmm', ""Perc' 10 different watches Ben 10 shit I got it Yeah"", ""Hydro throwin' fours couple of niggas kept it solid"", 'SRT got pinks in it', 'double cup got pink in it', 'Pink Tape Pink Tape Yeah Pink Tape Pink Tape Yeah', 'Pink Tape Pink Tape What Yeah Pink Tape Pink Tape Yeah huh', 'Hahaha Hahaha', 'Redbone pink face vacay pink lake', 'Double cup pink drank', 'Frostd Flake Tony Tiger grrreat', ""Cullinan pwpewpewpewpewpewpew came with a Carbon in it Don't do that my nigga"", '7.62 came with carbine in it', 'narcissist']"
218,ExtraL,JENNIE & Doechii,Rap,"['Do my do my ladies run this ladies run this', 'Do my do my ladies run this ladies run this Yeah', 'Do my do my ladies run this ladies run this Incoming', 'Do my do my ladies run this ladies run this', 'All of my girls looking good and they got they own money Do my do my ladies run this', 'Pop your shit', 'This for my girls with no sponsor they got they own fundin', 'Run through your city that motorcade Do my do my ladies run this', 'Soon as I enter they close the gate Ladies run this', 'Presidential through your residential', 'Said Fuck your rules is the mood damn right', 'Walk in a room and I set the vibe', ""You sit too far down on 'em charts to even ask me who's in charge"", ""Ridin' 'round foreign cars""]"
219,like JENNIE,JENNIE,Electronic,"[""Special edition and your AI couldn't copy"", ""I'm leaving clues in the fittin' room and it's hot tea"", ""No I'm not thinking about no exes know they miss me"", 'JENNIE JENNIE JENNIE JENNIEJENNIE JENNIE JENNIE']"
220,Ordinary,Alex Warren,Pop,"[""They say The holy water's watered down"", ""And this town's lost its faith"", 'Our colors will fade eventually']"
221,1 AM,Civ,Rap,"[""Pop out at 1 in the mornin'You really wanna know this kind of life never borin' Ayy"", 'She bought Dior with her man from the store', ""But she bring it to my table when the drink start pourin' Sheesh"", ""She askin' to come with the crew Ask Who"", ""And the accent it come with a view That's true"", ""She dancin' She dancin' unruly Unruly"", 'Reaction Reaction I love it Ayy']"
222,Doot Doot (6 7),Skrilla,Rap,"['ellis', ""Yeah it's Skrilla yeah it's Skrilla"", ""Yeah it's Skrilla yeah it's Skrilla"", ""Yeah it's me"", ""Shades on l'm boul with the glasses"", ""Bro say er 'cause he a savage"", 'So many dead opps so many ashes Brrt', ""You ain't catch that I can't pass this Come here"", ""Shooter stay strapped I don't need mine"", 'Bro put belt right to they behind', 'The way that switch brrt I know he dyin', '67 I just bipped right on the highway Bip bip', 'Skrrt', 'Bip bip bip', 'I just bipped right on the highway', ""Trackhawk mm sittin' in the driveway Skrrt"", 'Uh pull up dootdoot doodoodoo', 'Dump truck baby shark doodoodoodoo', 'I geekgeek like the custys too', 'Say it in rap bro we can smack out Huh', ""Pull up clean in my white tee rollin' off a honey too Huh"", 'Diamonds VV straight from Lex', ""And I got a custom pendant waitin' wait 'til when you see that ooh"", 'matteblack Track', 'just bipped it nyoom', ""Throw some D's up on that bitch like Rich Boy"", 'Hurricane hey baybaybaybay', 'Hurricane my Chris boy', 'Maison Margiel', 'Send my shooter on a hit boy Grrt', ""Straight thuggin' free Blick fightin' triple homi' Frr"", 'I think 12 inside a Scat', 'Swapped the VIN and got it wrapped Huh', ""Bitch we bippin' overnight Yeah""]"
223,TWIN TRIM,Playboi Carti & Lil Uzi Vert,Hip-Hop,"[""She can't suck my dick I make this bitch just suck my nuts Suck my nuts"", 'on them drugs the one that lean you over', 'This a double R', ""Bitch I'm ballin' I can throw it up just like a floater Yeah"", 'One hundred and twenty five racks I spent it all at Dover Dover', ""Y'all niggas really ain't vamps I can tell that y'all posers"", ""I get younger don't get older Uhhuh what That's that"", 'All my bitches on your poster', 'Pockts got knots Knots move them pop rocks', ""I don't sll pot Yeah bitch we sell rocks I do"", ""Bro a demon with that 'K don't got no shell tops What""]"
224,Timeless,The Weeknd & Playboi Carti,Rap,"['XO', 'Ever since I was a jit knew I was the shit Ooh yeah', ""Shawty keep wanna come 'round she wanna get hit Wanna get hit so hard"", 'She think she the main because I keep her by my side', 'Double', ""O bust down the watch she know that I'm timeless Timeless"", 'I put my son in some Rick', 'I pull that gun off the hip', 'Pockets hold twentytwo clips Ah', 'I break her heart Comme Garon', 'Put on a shirt get put on a blimp', 'Bitch like a stain get ready to lick', 'I had to tll her that ever sinc I was a jit knew I was the shit Oh', ""She singin' my songs she wanna die lit tryna get hit"", 'Ice on my neck double', 'O wrist', ""She in the Scat hell of a 'Cat"", 'Fresh out the trench four hundred packs', 'Just poured a four in a soda it pop', ""I'm wrestlin' all of my demons I feel like The Rock""]"
225,RADAR,Playboi Carti,Rap,"['Metro', 'Metro', 'Benzes in the backyard', 'So hot hit the radar', 'Stepping in Van Cleef yeah I got a jigsaw', ""It's a hundred thousand for the jet schyeah I'm 'bout to take off"", 'She just said she went to LIV', 'All of my bitches they bad they goddesses you know that', 'All of my shooters are Haitian hold up bitch you should know that Carti', ""It's Carti world""]"
226,MUNYUN,Playboi Carti,Hip-Hop,"[""You gotta be livin' up under a rock if you don't know my voice"", 'Swamp Izzo', 'That doublecup love I need me some more', 'She send me some when she get bored', ""Came a long way still can't believe I made Forbes"", ""I got  from me they ain't ever played on the court"", 'Big  over here yours looking short', ""Bring them bitches here I ain't going to Allure"", 'Molly make me lock Carti']"
227,twin,JENNIE,Pop,"[""It's like I'm writing a letter"", 'And I put in a twelveounce bottle of Heineken', ""In the Atlantic on a whim'Cause I know I've been gone too long""]"
228,You Said You Were Sorry,Selena Gomez & benny blanco,Pop,"['PCH', 'Type of love that can make a bitch crazy', 'He fills me up yeah he never gets lazy', ""I wouldn't leave him even if you paid me"", 'But I had a dream', 'You said you were sorry said you were sorry', 'Sorry for everything', 'That you put on me that you put on me', 'We finally both forgave', 'I had a dream', ""That's all it was"", 'That was enough for me']"
229,OLYMPIAN,Playboi Carti,Hip-Hop,"['Michael Jackson beat it B', 'Seventeen on my jeans', 'Had the 9 on me', ""Shake the seeds shake 'em off"", 'Too many chains yeah like an Olympian', 'Too many chains yeah like an Olympian', 'I got ten cars in traffic I went Ludacris', ""These niggas can't stop baby the shoe don't fit"", 'Double05', 'White bricks', 'schyeah Schyeah schyeah', 'She on that cococo trip trip uhhuh Schyeah', 'Pop me another pill field trip uhhuh', 'just like Ricky Hil', 'Still alive just like 50 yeah uhhuh', 'Southside bitch yeah Riverdale uhhuh Schyeah schyeah', 'Southside bitch yeah Riverdale uhhuh Schyeah schyeah', 'Southside break the scale Southside schyeah']"
230,Juno,Sabrina Carpenter,Pop,"['Whole package babe I like the way you fit', ""God bless your dad's genetics mm uh"", 'Wanna try out my fuzzy pink handcuffs', ""Oh I hear you knockin' baby come on up"", 'If you love me right then who knows', 'I might let you make me Juno', 'One of me is cute but two though', 'I showed my friends then we highfived Ahah', 'Sorry if you feel objctified Ahah', 'Give me more than just some butterflies']"
231,COCAINE NOSE,Playboi Carti,Hip-Hop,"['Wake up F1LTHY', ""Gucci snakes hol' up with Slime on the plane"", 'Stay with a hoodrat yeah schyeah', 'Schyeah schyeah schyeah', 'Medusa snakes on the airplane', 'Gucci socks where I stash the blade', 'Maybach', 'Herms Johnny Dang', ""In Houston sippin' drank"", ""It's Opium schyeah movin' like Jay and Dame"", ""I don't listen to nobody fuck 'em I'm like Kane""]"
232,Sunset Blvd,Selena Gomez & benny blanco,Pop,"['Big big', 'Hard heart', ""Holdin' you naked middle of Sunset Boulevard"", 'Bare skin concrete']"
233,OG CRASHOUT,Bhad Bhabie,Hip-Hop,"[""Shiesty'Cause that's Bhad Bhabie"", ""Bhad Bhabie's going to do what Bhad Bhabie's gonna fucking do Ayo X9And there's nothing you can do about it"", ""She's gonna fucking win win win win win"", ""The fuck you talkin' about"", ""I don't know who gassed these bitches up but somethin' needa be said Somethin' needa be said"", ""Why you all in that man face and my pussy's still on his breath On his breath"", 'OG crash out with the drum I blink oneeightytwo shots', ""You the cry baby you callin' Ye 'bout the last diss that I droppd Cry baby"", ""You keep runnin' back to your Daddy I don't know when I last seen my pops No"", 'I just killed you on my third diss and my last one still hot Still hot', ""All thm whips you seen in my last video ain't none of them shit props Nope"", ""Bitch you scared you postin' up Big Mama like she with you bitch you weird"", 'Miss Piggy used to be fat before the Ozempic', 'If I crash out mama crash out too we got the same DNA', ""Surround yourself with Blacks but still ain't 'vited to the cookout cracker bitch"", ""I ain't backin' down from shit I feel like Curtis Jackson Feel like Curtis Jackson"", ""How you born rich and you actin' ratchet You movin' backwards"", ""How you got Atlanta accent You foolin' me you from Calabasas"", ""I'ma make sure this the last song you gon' make about me Bitch"", ""I think this ass fat just like Ari' who gon' say sum Who"", ""Who the hell said that 'Bama do it better bitch where"", 'I know that you a 304 not me bitch where Bitch where', ""I done made a couple M's off Only"", 'Fans right here', ""Ask Camilla she'll tell you that this stupid bitch weird Weird bitch""]"
234,Younger And Hotter Than Me,Selena Gomez & benny blanco,Pop,"['Waited outside your apartment', 'You used to come down for me', 'I used to feel like anangel', 'Now', ""I'm a dogon your leash"", 'X onmy hand drawn in Sharpie', 'All of the girls at this party', 'Are younger and hotter than me', 'And I hate what I wore', 'But I hate myself more', ""We're not gettin' any younger"", 'But your girlfriends seem to', ""Lookin' for something to tell you"", ""Lookin' for reasons to speak"", 'Pictures of you at the movies', 'Is she younger and hotter than me', 'Is it all in my head', 'Should have moved on instead']"
235,OVERLY,Playboi Carti,Rap,"[""Let's go Maaly"", 'Leave you bald head just like Common', ""Me and you got nothin' in common"", 'Me and my niggas yeah we be stuntin', 'Blue Bugatti it look like Sonic', ""SRT you can hear that bih comin' yeah grr"", ""SRT you can hear that bih growlin' ski"", 'All of my niggas they hold that stick', 'All of my niggas they with the shit Homixide Homixide Homixide bitch', 'I fucked on that bitch yeah I got Herms sheets yeah', ""I fuck on the fleek yeah I told her I'm geeked yeah"", ""I couldn't go to sleep Let's go Maaly ah I couldn't see the Z's ah"", ""I'm poppin' the Xan Yeah the Xanny on me yeah"", 'Yeah the hammer on me yeah yeah get knocked off your feet', 'I just bought me a fleet my pockets obese', 'Might jump out the coupe', 'then go on a spree', ""I've been gone for weeks ah I'm on a Perc' for weeks ah"", ""I'm on XGame mode ah I need a XGame freak uh"", ""I got a XGame ho yeah she gon' ride on the pole ah"", ""Got a SVJ ah and it's all yellow ah"", ""I'm on top of the building"", 'Top floor top floor']"
236,tv off,Kendrick Lamar (Ft. Lefty Gunplay),Hip-Hop,"['All I ever wanted was a black Grand National', ""Fuck being rational give 'em what they ask for"", ""It's not enough Ayy"", ""Few solid niggas left but it's not enough"", ""Few bitches that'll really step but it's not enough"", ""Say you bigger than myself but it's not enough Huh"", 'I get on they ass yeah somebody gotta do it', ""I'll make them niggas mad yeah somebody gotta do it"", ""I'll take the G pass shit watch a nigga do it"", 'Huh we survived outside all from the music nigga what', 'They like What he on', ""It's the alpha and omega bitch welcome home"", 'This is not a song', 'This a revlation how to get a nigga gone', ""Don't put your life in these weird niggas' hands baby Woah""]"
237,I Want It That Way,Backstreet Boys,R&B,"['You are my fire', 'The one desire', 'Believe when I say', 'I want it that way', 'But we are two worlds apart', ""Can't reach to your heart"", 'When you say', 'That I want it that way', 'Tell me why', ""Ain't nothin' but a heartache"", 'Tell me why', ""Ain't nothing but a mistake"", 'Tell me why', 'I never wanna hear you say', 'I want it that way', 'Am I your fire', 'Your one desire']"
238,Sports car,Tate McRae,Pop,"['Hey cute jeans', 'Take mine off me', 'We can share one seat', 'We can share one seat', 'In the alley in the back', 'In the center of this room', 'With the windows rolled down', ""Boy don't make me choose"", 'In the alley in the back', 'In the center of this room', 'With the windows rolled down', ""Boy don't mak me choose"", 'I think you know what this is', 'I think you wanna uh', ""No you ain't got no Mrs."", 'Oh but you got a sports car']"
239,Run It Up,Hanumankind,Rap,"['Run it up the sun is up', 'To when its down get your money up', 'I put money down on all of us', 'On my people now on what I love', 'Your problems they just not the same to us', ""We dealin' with things you ain't seen before"", ""We feelin' the weight of our ancestors"", ""We healin' with ways that don't last for long"", ""Don't have us the time ain't it obvious"", 'No help for the weak but the liquor strong', 'Plenty here pour it for all of us', 'Now bring out the drums in this bitch', ""We went from nothin' to something"", ""Got all of 'em jumpin' to shit that we made from the air"", 'We went from running and gunning with nothing in stomach', 'To feeding the neighborhood bruh']"
240,Photograph,Ed Sheeran,Pop,"[""Lovin' can hurt"", ""Lovin' can hurt sometimes"", ""But it's the only thing that I know"", 'And when it gets hard', 'You know it can get hard sometimes', 'We keep this love in a photograph', 'We made these memories for ourselves', 'Where our eyes are never closin', 'Hearts are never broken', ""And time's forever frozen still"", 'So you can keep me', 'Inside the pocket of your ripped jeans', ""Holdin' me closer 'til our eyes meet"", ""You won't ever be alone"", 'Wait for me to come home', 'I swear it will get easier', 'Remember that with every piece of ya', ""Mm and it's the only thing we take with us when we die""]"
241,Ain’t I (Remix),Yung LA (Ft. T.I. & Young Dro),Rap,"[""My work can make the J's do the jumpman can't it Can't it"", ""Ain't we up in Magic City throwin' up the profit Throw it up""]"
242,SOUTH ATLANTA BABY,Playboi Carti,Hip-Hop,"[""Carti I ain't gon' lie my nigga"", ""This music right here put you in a whole 'nother category"", ""That's right we can create our own genre"", ""From now on don't box us in any category"", ""Yeah Draco sitting out the car let's go"", 'Belt to ass get way out the door uh', ""I'm a crack baby ho I was raised off dope"", 'Semis and autos came with a scope', 'Ooh catch a body get it tatted on your throat', ""Everybody with me got two double0's"", ""I'm a Southside baby I'm out of control Yeah"", ""I'm a Southside baby"", 'got ice in my nose', 'she look like a dog tell the ho fetch ha', 'All of my cars got BBLs gotta keep the wide body kit Yes sir', 'The K on me is a felon', ""I'm aimin' at everybody jealous"", ""These pussyass niggas so soft how the fuck you gon' rat on your cousin""]"
243,Vanish Into You,Lady Gaga,Pop,"['It was cold in the summertime', 'High on a hill you call', 'Two lovers regret their time', 'Once in a blue moon I forget you', ""And once in your life you'll be mine"", 'Do you see me Do you see me now', ""I've been waiting for you cryin' out"", 'Do you see me Do you see me now', 'It was cold in the summertime', 'We were happy just to be alive', 'Can I vanish into you', 'Can I vanish into you Yah', 'Into the night we fly', 'Sirens blow by our heads Yah']"
244,DIS 1 GOT IT,Playboi Carti,Rap,"[""I'm working on dying"", 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys vitamins and minerals', 'Mollys Perkys three is the minimum', ""Playin' with them M's yeah yeah yeah millennium"", 'Ratchet hoes ratchet hoes yeah nigga into them', ""Smokin' P smokin' P"", ""Just like Peewee just like Peewee bitch I'm blue MM"", ""Homixide Homixide yeah I'm defendin' 'em"", 'Ter', 'Rio Ter', 'Rio Ter', ""Rio ooh ooh ooh killin' him"", ""Pink slip pink slip hell nah not rentin' them"", 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys I feel so invincible', 'Mollys Perkys vitamins and minerals', 'Mollys Perkys three is the minimum', ""Playin' with them M's yeah yeah yeah millennium"", 'Ratchet hoes ratchet hoes yeah nigga into them']"
245,FOMDJ,Playboi Carti,Rap,"['Wake up F1LTHY', 'I been on the Eway bitch come on the Gway', 'She wanna put on my chain yeah she wanna fuck on my DJ', ""All this money I'm big paid buy a Richard a new Wraith"", 'crash out for a mixtape', ""And I'm still on the hill yeah I'm still in The Hills"", 'This how the Perky feel this how the ecstasy feel', 'This how the Xanny feel watch how that motherfucker feel', ""Havin' all blues like a Crip"", ""Then I go tat' up a tear"", ""I'm in that bitch like D. Hill"", ""Percocet got her sittin' like a chair"", ""Got  ten hoes sittin' in the lair""]"
246,Rolling in the Deep,Adele,Soul,"[""There's a fire starting in my heart"", ""Reaching a fever pitch and it's bringing me out the dark"", 'Finally I can see you crystal clear', ""Go ahead and sell me out and I'll lay your shit bare"", ""See how I'll leave with every piece of you"", ""Don't underestimate the things that I will do"", ""There's a fire starting in my heart"", ""Reaching a fever pitch and it's bringing me out the dark"", 'The scars of your love remind me of us', ""They keep me thinkin' that we almost had it all"", 'The scars of your love they leave me breathless', ""I can't help feeling"", ""We could've had it all"", ""You're gonna wish you never had met me"", 'Rolling in the deep Tears are gonna fall rolling in the deep', 'You had my heart inside of your hand', ""You're gonna wish you never had met me"", 'And you played it to the beat', 'Tears are gonna fall rolling in the deep', 'Baby I have no story to be told', ""But I've heard one on you now I'm gonna make your head burn"", 'Think of me in the depths of your despair', ""Make a home down there as mine sure won't be shared""]"
247,We Hug Now,Sydney Rose,Pop,"[""You don't see stars here they're just city lights"", ""We will get coffee in Canton and you'll nervously laugh"", 'Chorus', 'Sometimes I go to sleep', ""And I'm still seventeen"", 'You still live down my street', ""You're not mad at me""]"
248,Night Changes,One Direction,Soft Rock,"[""Goin' out tonight changes into somethin' red"", ""Her mother doesn't like that kind of dress"", ""Everything she never had she's showin' off"", ""Drivin' too fast moon is breakin' through her hair"", ""She's headin' for somethin' that she won't forget"", ""Havin' no regrets is all that she really wants"", ""Ooh We're only gettin' older baby"", ""Ooh And I've been thinkin' about it lately"", 'Ooh Does it ever drive you crazy', 'Ahahah Just how fast the night changes', ""Ooh Everything that you've ever dreamed of"", ""Ooh Disappearin' when you wake up"", ""Ooh But there's nothin' to be afraid of"", 'Ahahah Even when the night changes', 'Ooh It will never change me and you', ""Chasin' her tonight doubts are runnin' round her head"", ""He's waitin' hides behind a cigarette"", ""Heart is beatin' loud and she doesn't want it to stop"", ""Movin' too fast moon is lightin' up her skin"", ""She's fallin' doesn't even know it yet"", ""Havin' no regrets is all that she really wants""]"
249,MONA LISA,j-hope,R&B,"['I like my girls pretty so fine', 'One plus the nine', 'Art piece to frame', 'Mona Mona Lisa yeah', 'Ineedya']"
250,Cowboy,Selena Gomez & benny blanco,Pop,"['You want me to act like the bad girls', 'Put you on your knees', ""Kiss me like we're meant for each other"", ""Say you'll never leave"", 'Put your hands on me', 'Ride it like a cowboy run you out of town boy', ""Let's pretend we're both underwater"", 'Breath me in so deep', 'Lips like rain remind you of summer', ""Say you'll never leave""]"
251,start a war,JENNIE,R&B,"[""And I think I've grown 'til somebody come for you Ooh""]"
252,Garden Of Eden,Lady Gaga,Pop,"['me on the floor', ""You're out of candy I can get you mooore"", ""You started slurrin' and I start to squeal"", ""I'm fallin' over in my nineinch heels"", 'So hit the lights Come on and hit me come on', 'DJ hit the lights DJ come on', 'So hit the lights Come on and hit me come on', 'DJ hit the lights', 'Chorus', 'I could be your girlfriend for the weekend', 'You could be my boyfriend for the night', ""Oh I've been feelin' this familiar feeling"", ""Like I've known you my whol life"", 'Oh Take you to the Gardn of Eden', 'Poison apple take a bite Oh']"
253,Zombieboy,Lady Gaga,Electronic,"['We about to be up all night waking up a zombie', 'So put your paws all over me', 'you zombieboy You zombieboy', 'I could be your type from your zombie bite', 'We about to be up all night waking up a zombie', 'So put your paws all ovr me', 'you zombieboy']"
254,WALK,Playboi Carti,Hip-Hop,"['Made a lot of profit I might just spin up on your project', 'Pull up on your partner yeah we put some on his forehead', 'I just laid a nigga down we sprayed his house his door red', 'All red flag red flag nigga code red', 'You pull up with that Hi', 'Point we leave it on your forehead', ""That 7.62 gon' leave your motherfuckin' door red"", 'Homixide Gang we smoke the big blunts we blow it Brrat brrat brrat', 'I might fuck a pop bitch and pass her to the brodie', ""I just popped an E pill yah just to keep me goin' Goin"", 'Money on top of bitches yeah money on top of money On top of hold up', 'Money on top of bitches yeah money on top of money On top of hold up', 'I just poured the ice cup out and poured some mud in', 'I just fucked a thot bitch and passed her to my buddy To my buddy', ""I been rollin' on ecstasy I feel it in the morning Uh"", ""Niggas can't even talk to me my young niggas extorted 'Torted"", 'Molly sex ecstasy I turned up just like Gohan', ""See this gon' feel like the end of the world to a lot of you fuck niggas"", ""To my day ones it's a new beginning"", 'Renegade', 'The 5']"
255,Perfect Celebrity,Lady Gaga,Rock,"[""I'm made of plastic like a human doll"", ""You push and pull me I don't hurt at all"", ""I talk in circles 'cause my brain it aches"", 'You say I love you I disintegrate', ""I've become a notorious being"", ""Find my clone she's asleep on the ceilin"", 'You love to hate me', ""I'm the perfect celebrity"", 'So rip off my face in this photograph Perfect celebrity', ""You make me money I'll make you laugh Perfect celebrity"", 'You love to hate me', ""I'm th perfect celebrity""]"
